rownames  	126	127N  	127C 	 128N  	128C 	 129N  	129C  	130N 	 130C  	131
% reporter 126  	0.926	0	0.074	0	0	0	0	0	0	0
% reporter 127N  	0	0.928	0	0.072	0	0	0	0	0	0
% reporter 127C  	0.008	0	0.926	0	0.066	0	0	0	0	0
% reporter 128N  	0	0.012	0	0.925	0	0.063	0	0	0	0
% reporter 128C  	0	0	0.015	0	0.927	0	0.058	0	0	0
% reporter 129N  	0	0	0	0.016	0	0.93	0	0.054	0	0
% reporter 129C  	0	0	0	0	0.027	0	0.926	0	0.047	0
% reporter 130N  	0	0	0	0	0	0.0124	0	0.9446	0	0.043
% reporter 130C  	0	0	0	0	0	0	0.033	0	0.934	0
% reporter 131  	0	0	0	0	0	0	0	0.087	0	0.879
