Name,Group,Label,Value
GFP,Sample 1,HA,23033927.58
Pcbp2,Sample 1,HA,16864353.4
Msi1,Sample 1,HA,49252525.8
GFP,Sample 1,T7,19869478.46
Pcbp2,Sample 1,T7,15703407.84
Msi1,Sample 1,T7,21113266.64
GFP,Sample 2,HA,6827496.93
Pcbp2,Sample 2,HA,6925499.14
Msi1,Sample 2,HA,14636464.67
GFP,Sample 2,T7,28611208.7
Pcbp2,Sample 2,T7,21800049.24
Msi1,Sample 2,T7,23882367.41
GFP,Sample 3,HA,23458633.1
Pcbp2,Sample 3,HA,14106493.86
Msi1,Sample 3,HA,35800298.97
GFP,Sample 3,T7,46820260.36
Pcbp2,Sample 3,T7,31279304.12
Msi1,Sample 3,T7,30056376.07
GFP,Sample 4,HA,24520761.91
Pcbp2,Sample 4,HA,11609106.31
Msi1,Sample 4,HA,51070831.41
GFP,Sample 4,T7,13248041.46
Pcbp2,Sample 4,T7,6700393.81
Msi1,Sample 4,T7,10396494.26
GFP,Sample 5,HA,37022761.72
Pcbp2,Sample 5,HA,25927456.93
Msi1,Sample 5,HA,37824574.92
GFP,Sample 5,T7,3757055.57
Pcbp2,Sample 5,T7,2861463.03
Msi1,Sample 5,T7,2039347.52
GFP,Sample 6,HA,38993895.93
Pcbp2,Sample 6,HA,31022522.05
Msi1,Sample 6,HA,53219395.78
GFP,Sample 6,T7,1334461.02
Pcbp2,Sample 6,T7,1070713.44
Msi1,Sample 6,T7,836475.05
